ET_0_a,ET_0_b,ET_1_a,ET_1_b,ET_2_a,ET_2_b,ET_3_a,ET_3_b,ET_4_a,ET_4_b,ET_5_a,ET_5_b,ET_6_a,ET_6_b,ET_7_a,ET_7_b,ET_8_a,ET_8_b,ET_9_a,ET_9_b
1110,1207,1153.0,1185.0,,,1165.0,1202.0,1182.0,1214.0,1159,1203,1168,1197,,,,,,
2619,2725,2603.0,2675.0,,,2639.0,2690.0,,,2645,2717,2689,2714,2712.0,2746.0,2628.0,2666.0,2652.0,2688.0
4114,4217,4093.0,4153.0,,,4137.0,4188.0,4166.0,4325.0,4126,4223,4104,4131,4123.0,4160.0,4119.0,4225.0,,
5636,5756,,,,,5633.0,5673.0,5690.0,5738.0,5633,5675,5623,5666,5629.0,5678.0,5594.0,5641.0,5616.0,5715.0
7105,7204,7089.0,7130.0,,,,,,,7115,7157,7132,7202,7085.0,7131.0,7103.0,7149.0,,
8586,8695,8582.0,8617.0,,,,,,,8637,8720,8608,8634,8624.0,8677.0,,,8589.0,8645.0
10125,10232,10090.0,10133.0,,,,,,,10098,10201,10109,10171,,,10120.0,10195.0,,
11584,11640,,,,,,,,,11618,11655,11620,11654,,,11580.0,11651.0,11615.0,11673.0
